<<<<<<< HEAD
Language,Sentence,POS,Censored Sentence
tagalog,pukingina talaga natalo pa,"['pukingina|VBTR|VBAF', '|TALAGA|RBT', '|NATALO|VBTS', '|PA|RBI']",********* ****** ****** **
tagalog,asan kana tanga,"['|ASAN|RBR', '|KANA|NNC', '|TANGA|JJD']",**** **** *****
bikol,bobo mo boi zero ka sa exam,"['|BOBO|JJD', '|MO|PRS', '|BOI|FW', '|ZERO|FW', '|KA|PRS', '|SA|CCT', '|EXAM|NNC']",**** ** *** **** ** ** ****
tagalog,punyeta ka bakla,"['|PUNYETA|NNC', '|KA|PRS', '|BAKLA|NNC']",******* ** *****
tagalog,bwakanang bitch,"['bwakanang|JJD|CCP', '|BITCH|NNC']",********* *****
tagalog,baliw ka ba?,|BALIW|JJD |KA|PRS |BA?|NNCA,baliw ka ba?
tagalog,baliw ka ba?,"['|BALIW|JJD', '|KA|PRS', '|BA?|NNCA']",baliw ka ba?
tagalog,baliw ka ba?,|BALIW|JJD |KA|PRS |BA?|NNCA,baliw ka ba?
cebuano,ang galing mo naman,|ANG|DTC |GALING|RBL |MO|PRS |NAMAN|RBI,ang galing mo naman
bikol,ang galing mo puta,|ANG|DTC |GALING|RBL |MO|PRS |PUTA|NNC,ang galing mo puta
cebuano,hatdog ka ba,|HATDOG|CCR |KA|PRS |BA|RBI,hatdog ka ba
bikol,ang galing mo puta,"['|ANG|DTC', '|GALING|RBL', '|MO|PRS', '|PUTA|NNC']",*** ****** ** ****
cebuano,ang galing mo naman,"['|ANG|DTC', '|GALING|RBL', '|MO|PRS', '|NAMAN|RBI']",ang galing mo naman
cebuano,hatdog ka ba,"['|HATDOG|CCR', '|KA|PRS', '|BA|RBI']",hatdog ka ba
tagalog,baliw ka ba?,|BALIW|JJD |KA|PRS |BA?|NNCA,baliw ka ba?
tagalog,hotdog ka ba?,|HOTDOG|FW |KA|PRS |BA?|NNCA,****** ** ***
cebuano,ang galing mo naman,|ANG|DTC |GALING|RBL |MO|PRS |NAMAN|RBI,ang galing mo naman
bikol,ang galing mo puta ka,|ANG|DTC |GALING|RBL |MO|PRS |PUTA|NNC |KA|PRS,*** ****** ** **** **
cebuano,ang taas mo naman tumalon,|ANG|DTC |TAAS|NNC |MO|PRS |NAMAN|RBI |TUMALON|VBAF,ang taas mo naman tumalon
tagalog,naglalakad siya nang mabilis,|NAGLALAKAD|VBTR |SIYA|PRS |NANG|RBW |MABILIS|RBD,********** **** **** *******
tagalog,baliw ka ba?,|BALIW|JJD |KA|PRS |BA?|NNCA,baliw ka ba?
tagalog,baliw ka ba?,|BALIW|JJD |KA|PRS |BA?|NNCA,baliw ka ba?
tagalog,baliw ka ba?,|BALIW|JJD |KA|PRS |BA?|NNCA,baliw ka ba?
tagalog,puta ang galing,|PUTA|NNC |ANG|DTC |GALING|NNC,**** *** ******
cebuano,,,
tagalog,naglalakad siya nang mabagal,|NAGLALAKAD|VBTR |SIYA|PRS |NANG|RBW |MABAGAL|JJD,********** **** **** *******
tagalog,ang bilis niya tumakbo,|ANG|DTC |BILIS|NNC |NIYA|PRS |TUMAKBO|VBAF,ang bilis niya tumakbo
tagalog,puta ang hirap naman nito,|PUTA|NNC |ANG|DTC |HIRAP|JJD |NAMAN|RBI |NITO|PRO,**** *** ***** ***** ****
bikol,patalon talaga ang hamagan,"['|PATALON|RBD', '|TALAGA|RBT', '|ANG|DTC', '|HAMAGAN|NNC']",******* ****** *** *******
cebuano,kolera ka bai,"['|KOLERA|NNC', '|KA|PRS', '|BAI|NNC']",kolera ka bai
cebuano,kolera ka bai,"['|KOLERA|NNC', '|KA|PRS', '|BAI|NNC']",kolera ka bai
bikol,bugay lamang kaan,"['|BUGAY|CCT', '|LAMANG|RBI', '|KAAN|CCB']",***** ****** ****
cebuano,bogo man diay to dili,"['|BOGO|FW', '|MAN|FW', '|DIAY|FW', '|TO|FW', '|DILI|FW']",bogo man diay to dili
cebuano,kolera ka bai,|KOLERA|NNC |KA|PRS |BAI|NNC,kolera ka bai
bikol,bogo ka boi,|BOGO|RBM |KA|PRS |BOI|NNCA,**** ** ***
cebuano,bogo man diay,|BOGO|FW |MAN|FW |DIAY|FW,bogo man diay
cebuano,bogo kaayo siya sa matematika,|BOGO|FW |KAAYO|CCB |SIYA|PRS |SA|CCT |MATEMATIKA|NNC,bogo kaayo siya sa matematika
cebuano,bogo kaayo siya,|BOGO|FW |KAAYO|CCB |SIYA|PRS,**** ***** ****
tagalog,baliw ka ba,"['|BALIW|JJD', '|KA|PRS', '|BA|RBI']",baliw ka ba
cebuano,bogo kaayo ka bai,"['|BOGO|FW', '|KAAYO|CCB', '|KA|PRS', '|BAI|NNC']",**** ***** ** ***
bikol,maray na aga saindo gabos,"['|MARAY|JJD', '|NA|CCP', '|AGA|JJD', '|SAINDO|NNC', '|GABOS|NNC']",maray na aga saindo gabos
cebuano,bogo kaayo bai,|BOGO|FW |KAAYO|CCB |BAI|NNC,**** ***** ***
cebuano,ang galing mo naman,|ANG|DTC |GALING|RBL |MO|PRS |NAMAN|RBI,ang galing mo naman
tagalog,bobo ka talaga,|BOBO|JJD |KA|PRS |TALAGA|RBT,**** ** ******
cebuano,bogo kaayo bai,|BOGO|FW |KAAYO|CCB |BAI|NNC,**** ***** ***
bikol,makauragon ang bulininaniya,|MAKAURAGON|VBW |ANG|DTC |BULININANIYA|NNC,********** *** ************
tagalog,pagod nako mag isip sa putanginang problema na ito,|PAGOD|JJD |NAKO|RBD |MAG|VBW |ISIP|NNC |SA|CCT putanginang|RBD|CCP |PROBLEMA|NNC |NA|CCP |ITO|PRO,pagod nako mag isip sa putanginang problema na ito
tagalog,pagod nako sa putangina na problema,|PAGOD|JJD |NAKO|RBD |SA|CCT |PUTANGINA|NNC |NA|CCP |PROBLEMA|NNC,***** **** ** ********* ** ********
tagalog,pagod nako tangina,|PAGOD|JJD |NAKO|RBD |TANGINA|RBD,***** **** *******
tagalog,pagod nako tangina,|PAGOD|JJD |NAKO|RBD |TANGINA|RBD,***** **** *******
tagalog,pagod nako tangina,|PAGOD|JJD |NAKO|RBD |TANGINA|RBD,***** **** *******
tagalog,asan ka na tanga,|ASAN|RBR |KA|PRS |NA|CCP |TANGA|JJD,**** ** ** *****
tagalog,bobo ka talaga,|BOBO|JJD |KA|PRS |TALAGA|RBT,**** ** ******
tagalog,bobo ka talaga,|BOBO|JJD |KA|PRS |TALAGA|RBT,**** ** ******
bikol,oragon ka talaga,|ORAGON|CCT |KA|PRS |TALAGA|RBT,oragon ka talaga
bikol,oragon ka talaga,|ORAGON|CCT |KA|PRS |TALAGA|RBT,oragon ka talaga
bikol,oragon,|ORAGON|NNC,oragon
bikol,oragon,|ORAGON|NNC,oragon
bikol,oragon kami,|ORAGON|NNC |KAMI|PRP,oragon kami
bikol,oragon kami,|ORAGON|NNC |KAMI|PRP,oragon kami
bikol,hamag ka natakdag daa su kahuron mo kasubago,|HAMAG|RBF |KA|PRS |NATAKDAG|VBTS |DAA|FW |SU|FW |KAHURON|FW |MO|PRS |KASUBAGO|NNC,***** ** ******** *** ** ******* ** ********
bikol,hamag ka natakdag daa su kahuron mo kasubago,|HAMAG|RBF |KA|PRS |NATAKDAG|VBTS |DAA|FW |SU|FW |KAHURON|FW |MO|PRS |KASUBAGO|NNC,***** ** ******** *** ** ******* ** ********
bikol,makauragon su defense me kasuhapon,|MAKAURAGON|VBW |SU|FW |DEFENSE|FW |ME|FW |KASUHAPON|NNC,********** ** ******* ** *********
bikol,makauragon su defense me kasuhapon,|MAKAURAGON|VBW |SU|FW |DEFENSE|FW |ME|FW |KASUHAPON|NNC,********** ** ******* ** *********
tagalog,potek natalo yung laro namin,|POTEK|FW |NATALO|VBTS |YUNG|PRO |LARO|NNC |NAMIN|PRP,potek natalo yung laro namin
tagalog,potek natalo yung laro namin,|POTEK|FW |NATALO|VBTS |YUNG|PRO |LARO|NNC |NAMIN|PRP,potek natalo yung laro namin
cebuano,bogo man dili bai,|BOGO|FW |MAN|FW |DILI|FW |BAI|FW,**** *** **** ***
cebuano,bogo man dili bai,|BOGO|FW |MAN|FW |DILI|FW |BAI|FW,**** *** **** ***
cebuano,kolera ka bai,|KOLERA|NNC |KA|PRS |BAI|NNC,kolera ka bai
cebuano,kolera ka bai,|KOLERA|NNC |KA|PRS |BAI|NNC,kolera ka bai
bikol,agang aga ika na sana nabutlaan,agang|NNC|CCP |AGA|JJD |IKA|JJN |NA|CCP |SANA|VBS |NABUTLAAN|VBTS,***** *** *** ** **** *********
bikol,agang aga ika na sana nabutlaan,agang|NNC|CCP |AGA|JJD |IKA|JJN |NA|CCP |SANA|VBS |NABUTLAAN|VBTS,***** *** *** ** **** *********
bikol,grabeng model toh mali mali,grabeng|JJD|CCP |MODEL|FW |TOH|FW |MALI|JJD |MALI|JJD,******* ***** *** **** ****
bikol,grabeng model toh mali mali,grabeng|JJD|CCP |MODEL|FW |TOH|FW |MALI|JJD |MALI|JJD,******* ***** *** **** ****
tagalog,mali mali ang labas,|MALI|JJD |MALI|JJD |ANG|DTC |LABAS|NNC,mali mali ang labas
tagalog,mali mali ang labas,|MALI|JJD |MALI|JJD |ANG|DTC |LABAS|NNC,mali mali ang labas
>>>>>>> main
>>>>>>> 9dfe370b30e15142589708a5424f55a0604acdbd
